Class,Keyword
temperature,trp
temperature,trpa
temperature,ANKTM1
temperature,trpv
temperature,trpm
temperature,trpml
temperature,trpc
temperature,trpp
temperature,transient receptor potential
temperature,vanilloid
temperature,melastatin
temperature,muclopin
temperature,polycystin
temperature,heat
temperature,cold
temperature,pain
temperature,temperature
temperature,temperature sensitive
temperature,temperature-sensitive
temperature,capsaicin
temperature,nociceptor
temperature,nociception
light,DGQ
light,opsin
light,rhodopsin
light,cone
light,retinal
light,pigment
general,ion channel
general,channel
general,receptor
general,calcium
general,sodium
general,potassium
general,cation channel
general,anion channel
general,g-protein
general,GPCR
general,g-alpha
general,g(alpha)
general,g protein coupled receptor
general,g protein-coupled receptor
general,g-protein coupled receptor
