test_id,gene,locus,sample_1,sample_2,status,value_1,value_2
XLOC_008123,NM_005947,chr16:56685810-56687116,Media_Only,Chemical_B,OK,35.6433,3.25009
XLOC_011283,NM_020695,chr19:1815244-1848452,Media_Only,Chemical_B,OK,58.2575,5.05607
XLOC_016857,NM_000668,chr4:100227526-100242572,Media_Only,Chemical_B,OK,44.6031,4.38499
XLOC_021205,NM_018275,chr7:99752042-99756302,Media_Only,Chemical_B,OK,60.3318,6.52775
XLOC_005862,NM_014252,chr13:41363546-41495910,Media_Only,Chemical_B,OK,57.1863,13.8061
XLOC_017630,"NM_000065,NM_001115131",chr5:41142247-41261540,Media_Only,Chemical_B,OK,66.0366,10.2857
XLOC_001530,NM_000778,chr1:47394845-47407156,Media_Only,Chemical_B,OK,37.5248,6.83556
XLOC_008922,NM_001190452,chr17:22022436-22023991,Media_Only,Chemical_B,OK,230.1,0.0552146
XLOC_022579,NR_024425,chr9:130890807-130892913,Media_Only,Chemical_B,OK,5.14686,0.249455
XLOC_020929,NR_034022,chr7:7115400-7136417,Media_Only,Chemical_B,OK,0.989435,0.0110068
XLOC_008660,NM_000353,chr16:71600753-71610998,Media_Only,Chemical_B,OK,192.191,42.4432
XLOC_001748,"NM_001166107,NM_005518",chr1:120290618-120311555,Media_Only,Chemical_B,OK,9.65915,1.17801
XLOC_021923,"NM_000680,NM_033302,NM_033303,NM_033304",chr8:26605666-26722922,Media_Only,Chemical_B,OK,13.3016,1.92876
XLOC_015772,NR_027122,chr3:54156692-55108584,Media_Only,Chemical_B,OK,4.42111,0.35891
XLOC_015445,NM_001164436,chr3:171561138-171577108,Media_Only,Chemical_B,OK,5.57427,0.272522
XLOC_006010,NR_027995,chr13:19408542-19446109,Media_Only,Chemical_B,OK,0.720719,0.132753
XLOC_014414,"NM_001190326,NM_022720",chr22:20067754-20104818,Media_Only,Chemical_B,OK,42.5719,7.16093
XLOC_004068,NM_001190702,chr11:10529433-10530723,Media_Only,Chemical_B,OK,881.26,235.3
XLOC_013517,NR_029405,chr20:5451841-5457780,Media_Only,Chemical_B,OK,2.6345,0.256136
XLOC_016370,NM_001133,chr4:74347461-74369718,Media_Only,Chemical_B,OK,42.5765,11.5101
XLOC_000624,NM_000862,chr1:120049825-120057681,Media_Only,Chemical_B,OK,5.98204,0.717759
XLOC_013490,NM_006392,chr20:2633177-2639039,Media_Only,Chemical_B,OK,57.777,20.7225
XLOC_000622,"NM_001005783,NM_016527",chr1:119911401-119936751,Media_Only,Chemical_B,OK,78.409,19.4704
XLOC_010781,NM_021175,chr19:35773409-35776045,Media_Only,Chemical_B,OK,1350.81,656.735
XLOC_003613,NR_002819,chr11:65265232-65273939,Media_Only,Chemical_B,OK,64.0394,17.4782
XLOC_016792,NM_002089,chr4:74962753-74964997,Media_Only,Chemical_B,OK,35.1565,11.6236
XLOC_016060,NM_000340,chr3:170714136-170744768,Media_Only,Chemical_B,OK,35.0978,11.3458
XLOC_001651,"NM_001195683,NM_001195684,NM_003243",chr1:92145899-92371559,Media_Only,Chemical_B,OK,5.07249,1.33137
XLOC_016571,NM_007193,chr4:169013687-169108893,Media_Only,Chemical_B,OK,14.125,3.83153
XLOC_004838,"NM_001257199,NM_005276",chr12:50497601-50505103,Media_Only,Chemical_B,OK,15.4342,3.71547
XLOC_012722,NM_006944,chr2:234959345-234985776,Media_Only,Chemical_B,OK,17.9707,5.39615
XLOC_018159,NR_001434,chr6:29855382-29858856,Media_Only,Chemical_B,OK,14.1001,3.88325
XLOC_020475,NM_021116,chr7:45614124-45762714,Media_Only,Chemical_B,OK,1.72607,0.409901
XLOC_023329,NM_000531,chrX:38211735-38280703,Media_Only,Chemical_B,OK,21.7019,6.91334
XLOC_010196,NR_003003,chr18:47340392-47340813,Media_Only,Chemical_B,OK,14.8475,5.44808
