test_id,gene,locus,sample_1,sample_2,status,value_1,value_2,p_value,q_value,significant
XLOC_000522,NR_033966,chr1:95940292-95944912,Media_Only,Chemical_A+B,OK,0.554406,0,5.00E-05,0.000317685,yes
XLOC_003612,NR_030343,chr11:65211928-65212028,Media_Only,Chemical_A+B,OK,82.9915,0,5.00E-05,0.000317685,yes
XLOC_004079,NR_038904,chr11:13001080-13011095,Media_Only,Chemical_A+B,OK,0.417713,0,5.00E-05,0.000317685,yes
XLOC_004465,NR_003033,chr11:93466393-93466466,Media_Only,Chemical_A+B,OK,245.009,0,0.00135,0.00570619,yes
XLOC_004467,NR_031639,chr11:93466839-93466930,Media_Only,Chemical_A+B,OK,55.3969,0,0.0001,0.000594964,yes
XLOC_008126,NR_003669,chr16:56709648-56711653,Media_Only,Chemical_A+B,OK,0.619139,0,5.00E-05,0.000317685,yes
XLOC_008265,NR_033984,chr16:85170755-85183049,Media_Only,Chemical_A+B,OK,0.460876,0,5.00E-05,0.000317685,yes
XLOC_008382,NM_001190476,chr16:3421052-3422283,Media_Only,Chemical_A+B,OK,38.6404,0,5.00E-05,0.000317685,yes
XLOC_008549,NR_002837,chr16:34403801-34404762,Media_Only,Chemical_A+B,OK,0.500989,0,5.00E-05,0.000317685,yes
XLOC_008859,"NR_034144,NR_034145",chr17:12453284-12540504,Media_Only,Chemical_A+B,OK,0.404637,0,5.00E-05,0.000317685,yes
XLOC_009231,NR_004380,chr17:62223437-62223517,Media_Only,Chemical_A+B,OK,396.106,0,5.00E-05,0.000317685,yes
XLOC_009435,"NM_001033054,NM_001033055,NM_014336",chr17:6327058-6338519,Media_Only,Chemical_A+B,OK,0.400292,0,5.00E-05,0.000317685,yes
XLOC_009848,NR_073199,chr17:48838394-48844876,Media_Only,Chemical_A+B,OK,0.45889,0,5.00E-05,0.000317685,yes
XLOC_009884,NR_039890,chr17:58120385-58120466,Media_Only,Chemical_A+B,OK,251.4,0,5.00E-05,0.000317685,yes
XLOC_010001,NR_073178,chr17:76257429-76274573,Media_Only,Chemical_A+B,OK,0.451726,0,5.00E-05,0.000317685,yes
XLOC_010243,NR_038340,chr18:70992175-71017124,Media_Only,Chemical_A+B,OK,1.81399,0,5.00E-05,0.000317685,yes
