test_id,gene,locus,sample_1,sample_2,status,value_1,value_2,p_value,q_value,significant
XLOC_000035,NM_014638,chr1:2407753-2436964,Media_Only,Chemical_A,OK,1.26365,0.549241,5.18E-05,0.00777879,yes
XLOC_000102,"NM_001012276,NM_001012277",chr1:12976449-12980568,Media_Only,Chemical_A,OK,0.239253,0.925865,7.73E-05,0.0105634,yes
XLOC_000302,"NM_001136493,NM_032793",chr1:40420783-40435628,Media_Only,Chemical_A,OK,18.5784,9.02694,2.62E-07,9.02E-05,yes
XLOC_000381,NM_001010969,chr1:47603106-47614526,Media_Only,Chemical_A,OK,3.74098,1.78456,0.000205776,0.0236502,yes
XLOC_000404,"NM_000792,NM_001039715,NM_001039716,NM_213593",chr1:54359860-54376759,Media_Only,Chemical_A,OK,57.1046,106.294,2.47E-05,0.00435691,yes
XLOC_000542,"NM_017619,NM_020978",chr1:104068577-104122149,Media_Only,Chemical_A,OK,10.7426,5.57515,0.000403502,0.0386978,yes
XLOC_000622,"NM_001005783,NM_016527",chr1:119911401-119936751,Media_Only,Chemical_A,OK,60.0917,31.331,1.49E-06,0.000421879,yes
XLOC_000624,NM_000862,chr1:120049825-120057681,Media_Only,Chemical_A,OK,5.12091,1.38474,1.89E-10,1.15E-07,yes
XLOC_000838,"NM_001126060,NM_001164757,NM_014697",chr1:162039580-162339813,Media_Only,Chemical_A,OK,2.53449,1.10509,8.17E-05,0.0110686,yes
XLOC_000841,"NM_001085375,NM_001135240",chr1:162348695-162356608,Media_Only,Chemical_A,OK,22.5866,9.67353,1.56E-06,0.000429938,yes
XLOC_000899,NM_021165,chr1:177140632-177251558,Media_Only,Chemical_A,OK,0.0647235,0.257641,0.000172152,0.020927,yes
XLOC_001076,"NM_000120,NM_001136018",chr1:225997796-226070420,Media_Only,Chemical_A,OK,53.8985,264.906,6.78E-11,4.67E-08,yes
XLOC_001238,NM_207370,chr1:6307405-6321035,Media_Only,Chemical_A,OK,7.37378,2.77346,1.12E-10,7.37E-08,yes
XLOC_001276,NM_001039361,chr1:12952726-12958094,Media_Only,Chemical_A,OK,2.46609,6.21186,1.34E-07,5.07E-05,yes
XLOC_001281,NM_001012276,chr1:13386646-13390765,Media_Only,Chemical_A,OK,0.175242,0.754544,1.13E-05,0.00239128,yes
XLOC_001284,"NM_001012276,NM_001012277",chr1:13607430-13611550,Media_Only,Chemical_A,OK,0.197837,0.854792,5.24E-06,0.00118728,yes
XLOC_001427,NM_003680,chr1:33240839-33324480,Media_Only,Chemical_A,OK,24.7112,40.8091,0.000240326,0.025858,yes
XLOC_001497,NM_006516,chr1:43391045-43449029,Media_Only,Chemical_A,OK,2.79646,5.76207,6.39E-07,0.000193957,yes
XLOC_001530,NM_000778,chr1:47394845-47407156,Media_Only,Chemical_A,OK,37.09,17.1314,6.66E-09,3.61E-06,yes
